job_id,skill_name,weight,min_required_score
1,Django,0.93,70
1,Node.js,1.0,40
1,scikit-learn,1.11,40
1,SQL,1.62,50
1,DSA,0.83,70
1,Spark,0.94,40
1,A/B Testing,1.24,40
2,React,0.92,40
2,DSA,0.84,60
2,TensorFlow,0.9,50
3,AWS,0.8,50
3,Docker,0.47,70
3,Tableau,1.21,60
3,Node.js,0.98,60
3,React,0.88,70
4,scikit-learn,0.58,60
4,Linux,1.0,40
4,TensorFlow,1.57,40
4,Java,1.35,50
4,Communication,0.62,60
4,NumPy,1.22,70
4,Airflow,1.33,60
5,A/B Testing,1.53,70
5,Linux,0.7,70
5,Git,0.91,50
5,Django,0.7,70
5,scikit-learn,1.41,40
5,Python,1.57,40
6,Spark,1.45,50
6,TensorFlow,1.29,50
6,Airflow,1.37,70
7,Airflow,1.06,50
7,Python,1.27,40
7,Git,1.24,40
8,Go,1.52,60
8,Tableau,1.49,60
8,Docker,0.86,40
9,Linux,1.04,50
9,TensorFlow,1.08,70
9,PyTorch,1.27,60
9,Git,1.39,50
10,Pandas,1.21,40
10,AWS,1.05,50
10,Linux,0.7,60
10,HTML/CSS,0.74,40
10,Git,0.99,40
10,REST APIs,0.84,40
11,FastAPI,0.77,60
11,Django,1.3,50
11,C++,0.67,50
11,DSA,0.99,50
11,Kubernetes,0.41,40
11,REST APIs,0.99,60
11,A/B Testing,1.14,60
12,scikit-learn,1.29,60
12,Excel,0.83,40
12,Python,0.81,40
13,C++,0.56,60
13,REST APIs,0.66,50
13,React,1.12,50
14,Tableau,1.11,50
14,Git,1.38,50
14,Spring Boot,0.91,40
14,SQL,0.91,70
14,Pandas,1.47,40
15,Docker,0.53,60
15,AWS,1.19,40
15,Airflow,1.32,40
16,TensorFlow,0.96,50
16,REST APIs,0.8,40
16,PowerBI,1.19,40
16,HTML/CSS,0.93,50
16,Airflow,0.95,40
16,Go,1.0,40
17,AWS,0.79,50
17,Pandas,1.45,50
17,A/B Testing,0.66,50
17,JavaScript,0.98,40
17,Spring Boot,1.18,50
17,Django,0.52,40
18,Python,1.09,50
18,Node.js,0.81,50
18,DSA,1.11,70
18,Tableau,1.52,70
18,scikit-learn,1.36,40
19,Docker,1.07,50
19,Go,1.22,70
19,Linux,0.96,70
19,REST APIs,0.98,70
19,Excel,0.81,50
19,Python,0.3,60
20,scikit-learn,0.82,60
20,REST APIs,0.67,70
20,C++,1.43,40
20,SQL,0.79,60
20,Git,0.97,40
21,Node.js,0.86,50
21,Git,1.02,50
21,Communication,0.95,50
22,scikit-learn,1.03,60
22,Java,0.5,40
22,Airflow,1.25,50
22,React,0.75,60
22,REST APIs,0.67,50
22,Excel,1.41,40
22,C++,0.88,60
23,Spring Boot,0.97,70
23,Kubernetes,0.92,70
23,HTML/CSS,0.87,50
24,Communication,1.73,40
24,Spring Boot,1.16,50
24,Docker,1.53,50
24,JavaScript,0.54,70
24,Django,0.58,50
24,Statistics,0.92,50
24,HTML/CSS,0.48,70
25,Pandas,1.19,50
25,JavaScript,0.67,60
25,TensorFlow,0.91,60
25,Airflow,0.9,40
26,React,1.24,50
26,PowerBI,1.45,70
26,scikit-learn,0.88,40
26,TensorFlow,1.06,40
26,NumPy,0.7,70
26,JavaScript,0.66,70
27,scikit-learn,1.14,40
27,Docker,1.33,40
27,FastAPI,0.94,70
27,REST APIs,0.48,60
27,TensorFlow,1.28,70
28,Spark,1.3,70
28,Django,0.7,70
28,AWS,0.59,40
29,Linux,1.1,40
29,Spring Boot,1.2,50
29,A/B Testing,1.0,40
30,Pandas,0.64,60
30,scikit-learn,1.46,40
30,PyTorch,1.27,50
30,TensorFlow,0.91,60
30,Node.js,1.41,40
31,NumPy,0.65,70
31,Kubernetes,0.77,60
31,REST APIs,0.97,70
31,Airflow,1.47,60
31,Docker,1.35,70
31,Statistics,0.65,60
31,Django,1.46,50
32,DSA,0.89,60
32,PyTorch,0.78,40
32,Excel,1.02,60
32,Airflow,0.9,60
33,PyTorch,1.2,70
33,A/B Testing,0.86,40
33,Linux,0.77,60
33,REST APIs,1.23,60
34,Node.js,0.82,50
34,Git,0.7,60
34,Python,1.7,70
34,Java,1.08,60
34,SQL,1.35,60
34,Kubernetes,0.3,60
34,HTML/CSS,0.88,60
35,JavaScript,1.41,60
35,scikit-learn,1.53,40
35,HTML/CSS,0.76,70
35,SQL,0.98,70
35,A/B Testing,0.9,60
35,PowerBI,0.91,40
36,Kubernetes,1.0,70
36,JavaScript,0.7,50
36,scikit-learn,1.67,40
36,Git,1.14,60
36,Tableau,0.61,60
36,Linux,1.46,50
36,Pandas,0.91,70
37,AWS,0.97,70
37,NumPy,1.35,50
37,JavaScript,0.96,60
38,SQL,0.93,70
38,React,1.24,50
38,Tableau,0.93,50
38,A/B Testing,1.05,40
39,Linux,0.59,40
39,Spring Boot,0.97,60
39,Statistics,0.74,60
40,NumPy,0.78,70
40,Tableau,0.75,70
40,Linux,1.23,70
40,AWS,1.01,40
41,Node.js,0.87,70
41,JavaScript,0.9,60
41,TensorFlow,1.42,50
41,Docker,0.57,70
41,A/B Testing,1.31,40
41,PowerBI,0.99,70
42,A/B Testing,1.03,70
42,DSA,1.43,70
42,SQL,0.87,40
42,Django,0.84,60
43,Spark,1.36,40
43,PyTorch,1.59,40
43,NumPy,1.41,50
