student_id,name,branch,experience_years,graduation_year
1,Student_0001,CSE,2.6,2025
2,Student_0002,IT,0.2,2026
3,Student_0003,Data Science,1.5,2025
4,Student_0004,Mech,0.6,2027
5,Student_0005,Data Science,0.4,2027
6,Student_0006,Mech,0.4,2027
7,Student_0007,AIML,0.4,2026
8,Student_0008,IT,0.5,2024
9,Student_0009,IT,0.7,2026
10,Student_0010,Data Science,0.2,2027
11,Student_0011,CSE,1.0,2026
12,Student_0012,EEE,0.4,2026
13,Student_0013,Mech,0.3,2025
14,Student_0014,Data Science,0.0,2025
15,Student_0015,CSE,2.4,2026
16,Student_0016,Mech,0.1,2024
17,Student_0017,AIML,0.2,2024
18,Student_0018,CSE,0.1,2027
19,Student_0019,Mech,0.5,2026
20,Student_0020,Data Science,2.4,2024
21,Student_0021,Mech,0.7,2025
22,Student_0022,Mech,0.3,2025
23,Student_0023,ECE,0.5,2026
24,Student_0024,EEE,0.3,2024
25,Student_0025,CSE,0.2,2024
26,Student_0026,Data Science,2.4,2024
27,Student_0027,Mech,0.4,2024
28,Student_0028,EEE,0.3,2026
29,Student_0029,Data Science,0.3,2026
30,Student_0030,Civil,0.1,2027
31,Student_0031,AIML,0.2,2025
32,Student_0032,EEE,0.8,2026
33,Student_0033,Data Science,1.6,2024
34,Student_0034,AIML,0.9,2025
35,Student_0035,Data Science,0.2,2025
36,Student_0036,Mech,0.1,2026
37,Student_0037,CSE,0.1,2026
38,Student_0038,Mech,1.2,2025
39,Student_0039,Mech,0.5,2025
40,Student_0040,Mech,0.6,2027
41,Student_0041,Civil,0.8,2027
42,Student_0042,Mech,3.9,2024
43,Student_0043,Mech,0.1,2024
44,Student_0044,CSE,0.9,2024
45,Student_0045,Mech,2.3,2024
46,Student_0046,Data Science,0.1,2026
47,Student_0047,Civil,0.1,2027
48,Student_0048,EEE,0.2,2026
49,Student_0049,IT,0.3,2027
50,Student_0050,Mech,3.0,2025
51,Student_0051,Data Science,0.0,2026
52,Student_0052,Data Science,1.2,2024
53,Student_0053,Data Science,1.0,2027
54,Student_0054,IT,0.2,2025
55,Student_0055,Mech,1.9,2027
56,Student_0056,Civil,0.9,2025
57,Student_0057,Civil,0.4,2027
58,Student_0058,Mech,1.8,2024
59,Student_0059,Data Science,1.0,2025
60,Student_0060,CSE,1.6,2025
61,Student_0061,EEE,1.0,2026
62,Student_0062,Mech,1.7,2025
63,Student_0063,EEE,0.1,2025
64,Student_0064,Civil,0.3,2025
65,Student_0065,EEE,0.8,2027
66,Student_0066,Civil,0.9,2024
67,Student_0067,ECE,0.5,2027
68,Student_0068,Mech,0.5,2027
69,Student_0069,ECE,1.4,2027
70,Student_0070,ECE,1.9,2025
71,Student_0071,EEE,1.5,2024
72,Student_0072,Data Science,1.4,2025
73,Student_0073,ECE,0.2,2025
74,Student_0074,CSE,0.9,2025
75,Student_0075,Mech,0.3,2024
76,Student_0076,Mech,4.0,2024
77,Student_0077,CSE,1.9,2027
78,Student_0078,CSE,0.8,2025
79,Student_0079,CSE,0.4,2027
80,Student_0080,EEE,0.7,2025
81,Student_0081,IT,0.6,2027
82,Student_0082,Data Science,2.8,2025
83,Student_0083,EEE,0.6,2025
84,Student_0084,Data Science,0.7,2025
85,Student_0085,CSE,2.3,2027
86,Student_0086,IT,0.4,2027
87,Student_0087,Civil,0.1,2026
88,Student_0088,AIML,2.0,2025
89,Student_0089,AIML,3.5,2025
90,Student_0090,Civil,0.6,2025
91,Student_0091,CSE,4.0,2025
92,Student_0092,Data Science,0.5,2026
93,Student_0093,EEE,1.4,2026
94,Student_0094,IT,0.3,2025
95,Student_0095,AIML,0.4,2027
96,Student_0096,ECE,0.2,2026
97,Student_0097,EEE,1.6,2024
98,Student_0098,Data Science,0.7,2025
99,Student_0099,AIML,1.0,2026
100,Student_0100,EEE,1.0,2024
101,Student_0101,Civil,0.4,2027
102,Student_0102,IT,0.9,2025
103,Student_0103,IT,2.0,2026
104,Student_0104,ECE,4.0,2027
105,Student_0105,ECE,1.3,2027
106,Student_0106,Civil,4.0,2026
107,Student_0107,CSE,1.1,2025
108,Student_0108,CSE,0.1,2025
109,Student_0109,EEE,0.3,2026
110,Student_0110,CSE,0.5,2026
111,Student_0111,Data Science,1.0,2025
112,Student_0112,ECE,0.7,2025
113,Student_0113,ECE,0.3,2026
114,Student_0114,IT,0.2,2025
115,Student_0115,Mech,0.9,2025
116,Student_0116,ECE,0.2,2025
117,Student_0117,EEE,0.2,2027
118,Student_0118,EEE,0.2,2025
119,Student_0119,IT,0.3,2024
120,Student_0120,AIML,0.6,2026
121,Student_0121,IT,0.1,2025
122,Student_0122,Mech,1.1,2025
123,Student_0123,CSE,0.6,2024
124,Student_0124,EEE,0.6,2027
125,Student_0125,EEE,0.3,2026
126,Student_0126,Civil,0.7,2024
127,Student_0127,Data Science,2.1,2027
128,Student_0128,Mech,0.5,2024
129,Student_0129,ECE,0.1,2026
130,Student_0130,IT,1.9,2024
131,Student_0131,Data Science,0.7,2027
132,Student_0132,CSE,1.6,2027
133,Student_0133,Data Science,0.1,2025
134,Student_0134,ECE,0.3,2027
135,Student_0135,ECE,0.6,2026
136,Student_0136,Mech,4.0,2025
137,Student_0137,Mech,0.3,2025
138,Student_0138,EEE,1.4,2026
139,Student_0139,Mech,0.3,2025
140,Student_0140,CSE,0.1,2025
141,Student_0141,EEE,2.5,2026
142,Student_0142,Mech,1.8,2024
143,Student_0143,ECE,3.5,2024
144,Student_0144,ECE,0.3,2027
145,Student_0145,Civil,0.2,2027
146,Student_0146,AIML,0.6,2024
147,Student_0147,CSE,0.8,2025
148,Student_0148,Data Science,1.2,2026
149,Student_0149,Civil,0.4,2025
150,Student_0150,Mech,0.9,2024
151,Student_0151,CSE,1.1,2027
152,Student_0152,Data Science,4.0,2026
153,Student_0153,IT,4.0,2026
154,Student_0154,EEE,0.9,2024
155,Student_0155,CSE,0.5,2027
156,Student_0156,EEE,0.1,2025
157,Student_0157,ECE,0.4,2026
158,Student_0158,Data Science,3.5,2025
159,Student_0159,Civil,0.7,2025
160,Student_0160,Mech,0.1,2024
161,Student_0161,ECE,1.0,2024
162,Student_0162,AIML,2.8,2025
163,Student_0163,ECE,3.4,2027
164,Student_0164,AIML,1.7,2027
165,Student_0165,CSE,1.3,2025
166,Student_0166,EEE,0.8,2025
167,Student_0167,EEE,0.9,2027
168,Student_0168,Data Science,2.6,2025
169,Student_0169,ECE,0.2,2027
170,Student_0170,ECE,0.7,2025
171,Student_0171,Civil,1.4,2024
172,Student_0172,IT,0.3,2026
173,Student_0173,Data Science,0.9,2025
174,Student_0174,EEE,0.5,2026
175,Student_0175,AIML,1.4,2024
176,Student_0176,Mech,0.5,2027
177,Student_0177,AIML,0.5,2025
178,Student_0178,ECE,0.3,2025
179,Student_0179,IT,0.2,2027
180,Student_0180,Data Science,1.5,2024
181,Student_0181,ECE,0.0,2024
182,Student_0182,EEE,0.3,2025
183,Student_0183,Mech,0.5,2024
184,Student_0184,Data Science,1.8,2024
185,Student_0185,ECE,1.4,2025
186,Student_0186,EEE,0.1,2024
187,Student_0187,EEE,0.0,2027
188,Student_0188,ECE,1.7,2024
189,Student_0189,IT,1.4,2026
190,Student_0190,AIML,0.3,2027
191,Student_0191,Civil,2.2,2025
192,Student_0192,Mech,3.2,2025
193,Student_0193,ECE,2.6,2025
194,Student_0194,IT,0.2,2025
195,Student_0195,CSE,0.4,2026
196,Student_0196,IT,0.0,2024
197,Student_0197,Mech,1.0,2026
198,Student_0198,AIML,0.5,2024
199,Student_0199,CSE,0.9,2024
200,Student_0200,ECE,0.8,2024
201,Student_0201,CSE,3.1,2026
202,Student_0202,Civil,0.6,2024
203,Student_0203,AIML,1.4,2026
204,Student_0204,AIML,1.9,2024
205,Student_0205,Data Science,1.1,2025
206,Student_0206,IT,0.2,2027
207,Student_0207,Data Science,1.6,2024
208,Student_0208,IT,0.1,2025
209,Student_0209,Mech,0.6,2024
210,Student_0210,AIML,0.6,2025
211,Student_0211,Civil,2.0,2025
212,Student_0212,Data Science,0.8,2026
213,Student_0213,ECE,1.3,2025
214,Student_0214,ECE,0.5,2024
215,Student_0215,Civil,1.4,2026
216,Student_0216,Mech,1.2,2025
217,Student_0217,ECE,0.4,2024
218,Student_0218,AIML,0.1,2026
219,Student_0219,AIML,0.0,2027
220,Student_0220,Mech,0.9,2025
221,Student_0221,ECE,0.7,2026
222,Student_0222,EEE,1.2,2027
223,Student_0223,AIML,1.5,2024
224,Student_0224,Data Science,0.6,2025
225,Student_0225,EEE,0.3,2025
226,Student_0226,IT,0.2,2026
227,Student_0227,IT,0.2,2025
