student_id,job_id,domain_match,required_overlap_count,required_overlap_ratio,nice_overlap_count,nice_overlap_ratio,avg_required_skill_score,min_required_skill_score,meets_min_score_threshold,years_experience,min_years_required,years_gap,verified_skill_breadth,is_good_match
S0485,J0001,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,2.0,-1.9,9,0
S0433,J0102,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,5,0
S0300,J0025,0.0,0,0.0,0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,6,1
S0553,J0075,0.0,0,0.0,1,0.5,0.0,0.0,0.0,1.1,3.0,-1.9,8,0
S0202,J0076,1.0,2,0.5,1,0.5,75.85,74.6,1.0,4.8,1.0,3.8,6,1
S0567,J0097,0.0,1,0.25,0,0.0,37.1,37.1,0.0,3.6,1.0,2.6,6,0
S0123,J0049,1.0,3,1.0,1,0.5,44.87,37.7,1.0,0.2,0.0,0.2,9,1
S0361,J0021,0.0,1,0.2,0,0.0,59.9,59.9,1.0,0.7,1.0,-0.3,6,1
S0572,J0055,1.0,2,0.5,1,0.3333,42.25,32.5,0.0,0.6,0.0,0.6,4,1
S0124,J0084,1.0,5,1.0,1,1.0,84.82,79.5,1.0,0.8,3.0,-2.2,7,1
S0242,J0067,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.3,0.0,1.3,7,1
S0123,J0045,1.0,5,1.0,3,1.0,50.46,44.6,1.0,0.2,3.0,-2.8,9,1
S0234,J0072,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.2,1.0,-0.8,5,0
S0039,J0107,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.2,1.0,1.2,8,1
S0469,J0012,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0
S0452,J0079,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,7,0
S0223,J0112,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.3,3.0,-2.7,7,0
S0132,J0119,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,6,0
S0406,J0005,0.0,0,0.0,1,0.3333,0.0,0.0,0.0,8.0,1.0,7.0,7,1
S0124,J0058,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,7,0
S0173,J0074,1.0,3,0.75,0,0.0,48.27,45.4,0.0,2.1,2.0,0.1,5,1
S0375,J0064,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,5,0
S0452,J0104,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.4,1.0,-0.6,7,0
S0441,J0077,0.0,1,0.2,0,0.0,71.0,71.0,1.0,1.8,1.0,0.8,7,1
S0468,J0116,0.0,0,0.0,1,0.3333,0.0,0.0,0.0,0.3,2.0,-1.7,6,0
S0038,J0075,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,3.0,-2.9,8,0
S0506,J0008,0.0,1,0.3333,0,0.0,45.8,45.8,1.0,0.1,1.0,-0.9,7,1
S0324,J0100,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.4,1.0,-0.6,7,0
S0071,J0073,0.0,1,0.25,0,0.0,45.8,45.8,0.0,2.9,3.0,-0.1,5,1
S0088,J0047,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.1,1.0,0.1,5,0
S0376,J0002,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.2,1.0,1.2,9,0
S0035,J0104,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.6,1.0,-0.4,4,1
S0356,J0069,0.0,1,0.25,0,0.0,19.7,19.7,0.0,2.7,1.0,1.7,5,1
S0364,J0094,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.8,3.0,-2.2,6,0
S0071,J0016,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.9,0.0,2.9,5,0
S0561,J0019,0.0,1,0.2,0,0.0,42.4,42.4,0.0,0.5,1.0,-0.5,9,0
S0261,J0032,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.6,1.0,0.6,8,0
S0111,J0111,1.0,4,1.0,1,0.3333,71.27,48.7,1.0,2.7,3.0,-0.3,8,1
S0516,J0077,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,1.0,-0.9,4,0
S0382,J0015,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.1,2.0,1.1,7,1
S0497,J0035,1.0,2,0.5,1,0.5,80.95,65.4,1.0,0.2,2.0,-1.8,4,1
S0049,J0059,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.3,1.0,0.3,5,0
S0453,J0085,0.0,1,0.3333,0,0.0,43.5,43.5,0.0,1.9,3.0,-1.1,8,0
S0215,J0077,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.6,1.0,1.6,7,0
S0586,J0041,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0.2,0.0,0.2,5,1
S0406,J0051,0.0,1,0.2,0,0.0,60.4,60.4,1.0,8.0,0.0,8.0,7,1
S0404,J0089,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,1.0,-0.9,4,0
S0418,J0016,1.0,2,0.6667,2,1.0,66.2,62.7,1.0,2.8,0.0,2.8,8,1
S0158,J0016,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
S0210,J0089,0.0,1,0.2,0,0.0,71.3,71.3,1.0,0.0,1.0,-1.0,8,0
S0472,J0038,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.8,2.0,-1.2,7,0
S0141,J0084,1.0,1,0.2,1,1.0,80.9,80.9,1.0,1.5,3.0,-1.5,4,0
S0005,J0012,0.0,0,0.0,1,0.5,0.0,0.0,0.0,0.2,0.0,0.2,9,0
S0599,J0072,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,5,0
S0389,J0050,0.0,0,0.0,1,0.3333,0.0,0.0,0.0,0.1,1.0,-0.9,8,0
S0439,J0068,0.0,1,0.2,0,0.0,41.6,41.6,1.0,0.3,1.0,-0.7,6,1
S0594,J0026,0.0,0,0.0,0,0.0,0.0,0.0,0.0,5.7,3.0,2.7,6,0
S0288,J0015,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.2,2.0,-1.8,7,0
S0573,J0041,1.0,2,0.6667,0,0.0,63.45,61.5,1.0,1.6,0.0,1.6,5,1
S0077,J0106,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.9,1.0,0.9,5,1
S0490,J0018,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.5,1.0,0.5,5,0
S0557,J0085,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.1,3.0,-1.9,4,0
S0497,J0021,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.2,1.0,-0.8,4,0
S0400,J0085,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.4,3.0,-1.6,8,0
S0003,J0088,1.0,3,0.75,1,1.0,67.03,61.2,1.0,0.1,0.0,0.1,7,1
S0261,J0010,0.0,2,0.5,0,0.0,75.05,70.8,1.0,1.6,2.0,-0.4,8,1
S0327,J0027,1.0,4,1.0,1,1.0,66.22,57.9,1.0,0.1,3.0,-2.9,7,1
S0544,J0069,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.9,1.0,-0.1,4,0
S0465,J0074,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,2.0,-1.9,5,0
S0028,J0093,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4,0
S0387,J0025,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,8,0
S0141,J0040,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,4,1
S0260,J0004,0.0,1,0.2,0,0.0,22.2,22.2,0.0,0.9,2.0,-1.1,5,0
S0347,J0055,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,7,1
S0412,J0057,1.0,0,0.0,1,0.5,0.0,0.0,0.0,3.3,0.0,3.3,4,0
S0128,J0103,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,4,0
S0206,J0082,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.6,1.0,-0.4,7,0
S0499,J0038,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.2,2.0,1.2,7,1
S0025,J0085,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.4,3.0,-2.6,6,0
S0523,J0034,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.9,2.0,-0.1,4,0
S0115,J0030,1.0,3,0.75,0,0.0,61.43,52.0,1.0,3.5,1.0,2.5,8,1
S0145,J0013,1.0,2,0.6667,2,1.0,75.1,67.8,1.0,0.6,1.0,-0.4,6,1
S0547,J0108,1.0,1,0.25,2,0.6667,70.7,70.7,1.0,2.5,2.0,0.5,5,1
S0395,J0093,0.0,0,0.0,0,0.0,0.0,0.0,0.0,6.8,0.0,6.8,6,1
S0511,J0111,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.6,3.0,-2.4,6,0
S0083,J0078,1.0,2,0.4,0,0.0,79.3,78.0,1.0,0.5,1.0,-0.5,5,1
S0079,J0073,0.0,1,0.25,0,0.0,58.9,58.9,1.0,0.5,3.0,-2.5,9,0
S0383,J0011,0.0,1,0.2,0,0.0,78.4,78.4,1.0,0.3,3.0,-2.7,4,1
S0180,J0037,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.4,3.0,-0.6,5,0
S0049,J0116,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.3,2.0,-0.7,5,0
S0399,J0107,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,1.0,-0.9,4,0
S0067,J0026,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.4,3.0,-2.6,4,1
S0121,J0034,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.4,2.0,-0.6,7,0
S0194,J0044,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,6,0
