student_id,job_id,payment_tier,role,preferred_role,label,skill_coverage,avg_score_on_required,n_skills_matched,nice_to_have_coverage,edu_match,exp_match,loc_match,student_avg_skill,years_experience,n_student_skills,n_job_required,payment_tier_paid
S0000,J0056,paid,Data Scientist,Data Scientist,0,0.25,0.27,1,0.25,1,0,0,0.6,0.7,4,4,1
S0000,J0058,paid,Business Analyst,Data Scientist,0,0.2,0.97,1,0.0,1,0,1,0.6,0.7,4,5,1
S0000,J0014,paid,Business Analyst,Data Scientist,0,0.5,0.5667,3,0.0,1,0,1,0.6,0.7,4,6,1
S0000,J0013,paid,Full Stack Developer,Data Scientist,0,0.0,0.0,0,0.0,1,0,0,0.6,0.7,4,8,1
S0000,J0078,paid,Product Manager,Data Scientist,0,0.1429,0.27,1,0.0,1,0,0,0.6,0.7,4,7,1
S0001,J0078,paid,Product Manager,Data Analyst,0,0.2857,0.56,2,0.0,0,1,0,0.6,1.8,4,7,1
S0001,J0013,paid,Full Stack Developer,Data Analyst,0,0.0,0.0,0,0.0,1,1,0,0.6,1.8,4,8,1
S0001,J0071,paid,Data Engineer,Data Analyst,0,0.0,0.0,0,0.0,1,0,1,0.6,1.8,4,3,1
S0001,J0005,paid,Data Engineer,Data Analyst,0,0.0,0.0,0,0.0,1,0,0,0.6,1.8,4,3,1
S0001,J0064,paid,Data Scientist,Data Analyst,0,0.3333,0.585,2,0.0,1,0,1,0.6,1.8,4,6,1
S0002,J0013,paid,Full Stack Developer,Backend Engineer,1,0.5,0.4725,4,1.0,1,1,0,0.6,4.9,9,8,1
S0002,J0021,paid,Full Stack Developer,Backend Engineer,0,0.3333,0.795,2,0.6667,1,0,1,0.6,4.9,9,6,1
S0002,J0015,paid,Data Engineer,Backend Engineer,0,0.25,0.58,2,0.5,1,1,0,0.6,4.9,9,8,1
S0002,J0026,paid,Frontend Engineer,Backend Engineer,0,0.3333,0.73,2,1.0,0,1,0,0.6,4.9,9,6,1
S0002,J0046,paid,Data Analyst,Backend Engineer,1,0.5,0.7133,3,0.25,1,1,1,0.6,4.9,9,6,1
S0003,J0020,paid,Data Scientist,Full Stack Developer,0,0.3333,0.63,1,0.0,1,0,0,0.638,2.2,4,3,1
S0003,J0037,paid,Data Scientist,Full Stack Developer,0,0.0,0.0,0,0.25,1,1,0,0.638,2.2,4,5,1
S0003,J0056,paid,Data Scientist,Full Stack Developer,1,0.5,0.695,2,0.0,1,1,0,0.638,2.2,4,4,1
S0003,J0064,paid,Data Scientist,Full Stack Developer,0,0.3333,0.68,2,0.0,1,0,0,0.638,2.2,4,6,1
S0003,J0063,paid,ML Engineer,Full Stack Developer,0,0.1667,0.63,1,0.0,0,1,0,0.638,2.2,4,6,1
S0004,J0012,paid,Data Scientist,Data Scientist,0,0.3333,0.745,2,0.5,1,0,0,0.676,2.6,8,6,1
