job_id,title,company,salary_lpa,req_python,req_sql,req_machine_learning,req_data_analysis,req_deep_learning,req_javascript,req_react,req_node_js,req_java,req_aws,req_docker,req_kubernetes,req_communication,req_teamwork,req_problem_solving,req_project_management,req_excel,req_tableau,req_spark,req_statistics
JOB_0001,Data Scientist,Company_46,18.2,0.9,0.7,0.9,0.9,0.6,0.236,0.038,0.135,0.111,0.278,0.193,0.247,0.7,0.068,0.166,0.019,0.248,0.189,0.227,0.8
JOB_0002,Data Scientist,Company_58,31.8,0.9,0.7,0.9,0.9,0.6,0.205,0.223,0.29,0.098,0.111,0.141,0.057,0.7,0.143,0.068,0.201,0.131,0.25,0.21,0.8
JOB_0003,Full Stack Developer,Company_50,29.1,0.6,0.7,0.205,0.042,0.06,0.8,0.7,0.8,0.212,0.234,0.6,0.171,0.042,0.034,0.201,0.141,0.17,0.229,0.19,0.166
JOB_0004,Data Scientist,Company_33,14.1,0.9,0.7,0.9,0.9,0.6,0.07,0.017,0.084,0.088,0.199,0.167,0.235,0.7,0.122,0.244,0.05,0.007,0.027,0.217,0.8
JOB_0005,DevOps Engineer,Company_10,20.0,0.6,0.209,0.134,0.114,0.09,0.189,0.109,0.026,0.035,0.9,0.9,0.9,0.08,0.291,0.8,0.215,0.135,0.082,0.029,0.271
JOB_0006,ML Engineer,Company_27,11.1,0.9,0.174,0.9,0.257,0.8,0.216,0.13,0.188,0.175,0.7,0.7,0.125,0.012,0.148,0.099,0.043,0.031,0.176,0.6,0.7
JOB_0007,Project Manager,Company_35,15.4,0.177,0.007,0.288,0.145,0.235,0.025,0.146,0.147,0.281,0.172,0.142,0.08,0.9,0.9,0.8,0.95,0.7,0.269,0.042,0.166
JOB_0008,Frontend Developer,Company_07,25.2,0.084,0.198,0.218,0.231,0.032,0.9,0.9,0.5,0.166,0.111,0.249,0.242,0.7,0.286,0.7,0.155,0.077,0.281,0.049,0.013
JOB_0009,Frontend Developer,Company_26,34.8,0.268,0.225,0.267,0.268,0.156,0.9,0.9,0.5,0.112,0.028,0.224,0.079,0.7,0.072,0.7,0.249,0.046,0.054,0.18,0.262
JOB_0010,Data Scientist,Company_12,14.3,0.9,0.7,0.9,0.9,0.6,0.069,0.04,0.203,0.037,0.152,0.208,0.174,0.7,0.241,0.215,0.222,0.039,0.037,0.278,0.8
JOB_0011,Project Manager,Company_18,19.7,0.199,0.287,0.086,0.277,0.007,0.167,0.19,0.032,0.042,0.126,0.29,0.179,0.9,0.9,0.8,0.95,0.7,0.033,0.249,0.239
JOB_0012,Backend Developer,Company_14,20.9,0.7,0.8,0.181,0.124,0.112,0.128,0.196,0.7,0.8,0.6,0.7,0.224,0.245,0.032,0.02,0.178,0.044,0.247,0.093,0.043
JOB_0013,Project Manager,Company_55,10.0,0.085,0.046,0.035,0.006,0.017,0.052,0.016,0.177,0.204,0.118,0.095,0.151,0.9,0.9,0.8,0.95,0.7,0.075,0.171,0.125
JOB_0014,Frontend Developer,Company_03,16.2,0.157,0.031,0.25,0.016,0.277,0.9,0.9,0.5,0.294,0.241,0.234,0.193,0.7,0.04,0.7,0.154,0.257,0.139,0.116,0.192
