student_id,job_id,job_title,true_match_score,skill_overlap_ratio,skill_vector_distance,student_experience,student_gpa,job_salary_lpa,gap_python,gap_sql,gap_machine_learning,gap_data_analysis,gap_deep_learning,gap_javascript,gap_react,gap_node_js,gap_java,gap_aws,gap_docker,gap_kubernetes,gap_communication,gap_teamwork,gap_problem_solving,gap_project_management,gap_excel,gap_tableau,gap_spark,gap_statistics,label
STU_0001,JOB_0059,ML Engineer,0.4649,0.2857,0.0881,5.7,3.31,8.1,0.393,0.07,0.797,0.029,0.792,0.19,0.107,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281,0.573,0
STU_0001,JOB_0041,Backend Developer,0.556,0.3333,0.0816,5.7,3.31,23.1,0.193,0.693,0.0,0.019,0.11,0.039,0.0,0.589,0.434,0.0,0.0,0.0,0.044,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0
STU_0001,JOB_0035,Data Analyst,0.2926,0.0,0.111,5.7,3.31,30.2,0.093,0.793,0.0,0.806,0.197,0.068,0.0,0.168,0.0,0.0,0.0,0.0,0.618,0.0,0.0,0.0,0.438,0.499,0.0,0.573,0
STU_0001,JOB_0103,DevOps Engineer,0.9502,0.8,0.0273,5.7,3.31,10.9,0.093,0.081,0.013,0.01,0.152,0.232,0.0,0.065,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,1
STU_0001,JOB_0185,Frontend Developer,0.3146,0.2,0.0913,5.7,3.31,26.5,0.0,0.094,0.061,0.041,0.24,0.9,0.729,0.389,0.0,0.0,0.0,0.0,0.518,0.0,0.0,0.051,0.0,0.008,0.0,0.0,0
STU_0002,JOB_0113,ML Engineer,0.3717,0.1429,0.0943,2.2,3.65,27.0,0.191,0.0,0.637,0.0,0.721,0.0,0.0,0.0,0.0,0.632,0.188,0.0,0.0,0.137,0.0,0.0,0.032,0.037,0.408,0.553,0
STU_0002,JOB_0030,DevOps Engineer,0.4556,0.2,0.089,2.2,3.65,31.0,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.832,0.388,0.455,0.0,0.0,0.557,0.0,0.256,0.026,0.0,0.0,0
STU_0002,JOB_0183,Frontend Developer,0.7351,0.6,0.0663,2.2,3.65,10.5,0.0,0.0,0.0,0.036,0.0,0.017,0.136,0.0,0.0,0.096,0.0,0.0,0.37,0.07,0.457,0.0,0.094,0.207,0.047,0.137,1
STU_0002,JOB_0200,DevOps Engineer,0.4556,0.2,0.091,2.2,3.65,5.8,0.0,0.0,0.0,0.0,0.174,0.0,0.0,0.0,0.0,0.832,0.388,0.455,0.0,0.05,0.557,0.0,0.054,0.163,0.0,0.086,0
STU_0002,JOB_0194,Backend Developer,0.7284,0.5,0.0625,2.2,3.65,5.6,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.434,0.532,0.188,0.0,0.0,0.12,0.0,0.022,0.206,0.09,0.0,0.098,1
STU_0003,JOB_0041,Backend Developer,0.5537,0.0,0.0777,5.3,2.71,23.1,0.148,0.259,0.0,0.0,0.0,0.0,0.0,0.236,0.658,0.401,0.217,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0
STU_0003,JOB_0052,DevOps Engineer,0.4215,0.0,0.0777,5.3,2.71,10.3,0.048,0.0,0.0,0.055,0.019,0.0,0.0,0.0,0.0,0.701,0.417,0.565,0.0,0.0,0.641,0.019,0.0,0.048,0.078,0.008,0
STU_0003,JOB_0140,Full Stack Developer,0.8324,0.3333,0.0301,5.3,2.71,13.1,0.048,0.159,0.0,0.114,0.0,0.044,0.0,0.336,0.077,0.0,0.117,0.0,0.0,0.024,0.102,0.089,0.0,0.0,0.011,0.0,1
STU_0003,JOB_0198,Data Scientist,0.4055,0.0,0.0907,5.3,2.71,7.1,0.348,0.159,0.651,0.749,0.423,0.0,0.0,0.0,0.077,0.086,0.0,0.0,0.378,0.057,0.0,0.0,0.013,0.0,0.096,0.562,0
STU_0003,JOB_0171,DevOps Engineer,0.4215,0.0,0.0862,5.3,2.71,10.7,0.048,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.701,0.417,0.565,0.0,0.0,0.641,0.0,0.094,0.0,0.124,0.0,0
