student_id,dominant_background,years_experience,gpa,skill_python,skill_sql,skill_machine_learning,skill_data_analysis,skill_deep_learning,skill_javascript,skill_react,skill_node_js,skill_java,skill_aws,skill_docker,skill_kubernetes,skill_communication,skill_teamwork,skill_problem_solving,skill_project_management,skill_excel,skill_tableau,skill_spark,skill_statistics
STU_0001,DevOps Engineer,5.7,3.31,0.507,0.107,0.103,0.094,0.008,0.0,0.171,0.111,0.366,0.944,0.94,0.789,0.182,0.254,0.907,0.186,0.362,0.201,0.319,0.127
STU_0002,Full Stack Developer,2.2,3.65,0.709,0.786,0.263,0.148,0.079,0.883,0.764,0.716,0.366,0.068,0.512,0.445,0.33,0.146,0.243,0.223,0.0,0.064,0.192,0.147
STU_0003,Full Stack Developer,5.3,2.71,0.552,0.541,0.249,0.151,0.177,0.756,1.0,0.464,0.142,0.199,0.483,0.335,0.322,0.193,0.159,0.183,0.184,0.188,0.172,0.238
STU_0004,DevOps Engineer,0.9,3.84,0.442,0.0,0.33,0.238,0.276,0.0,0.468,0.109,0.225,1.0,0.752,0.818,0.227,0.629,0.845,0.441,0.381,0.255,0.052,0.359
STU_0005,Data Analyst,1.7,2.0,0.63,0.502,0.149,0.998,0.164,0.307,0.072,0.004,0.189,0.205,0.148,0.384,0.672,0.247,0.21,0.0,0.602,0.702,0.497,0.787
STU_0006,Data Scientist,2.0,3.18,1.0,0.686,1.0,0.768,0.653,0.327,0.133,0.136,0.204,0.281,0.198,0.346,0.631,0.001,0.497,0.109,0.115,0.19,0.21,0.742
STU_0007,Data Analyst,1.9,2.91,0.626,0.546,0.482,0.878,0.287,0.0,0.129,0.099,0.42,0.112,0.314,0.102,0.732,0.163,0.393,0.0,0.603,0.408,0.037,0.578
STU_0008,Frontend Developer,1.7,2.94,0.0,0.047,0.38,0.261,0.228,0.75,0.67,0.329,0.194,0.33,0.335,0.295,0.589,0.204,0.652,0.17,0.506,0.0,0.165,0.382
STU_0009,Full Stack Developer,4.9,2.76,0.521,0.667,0.0,0.289,0.3,0.876,0.569,0.813,0.065,0.15,0.923,0.214,0.022,0.227,0.0,0.02,0.044,0.133,0.341,0.287
STU_0010,Backend Developer,6.7,3.23,0.619,0.841,0.106,0.158,0.266,0.148,0.234,0.939,0.774,0.777,0.784,0.0,0.035,0.075,0.072,0.186,0.292,0.388,0.246,0.133
STU_0011,Project Manager,3.2,2.67,0.204,0.227,0.516,0.386,0.318,0.056,0.123,0.186,0.084,0.275,0.254,0.037,1.0,0.915,0.541,0.942,0.742,0.346,0.149,0.324
STU_0012,Data Analyst,4.1,3.96,0.388,1.0,0.379,0.948,0.424,0.358,0.303,0.063,0.46,0.28,0.142,0.1,0.839,0.0,0.305,0.057,0.856,0.622,0.16,0.586
STU_0013,Data Analyst,3.3,2.76,0.808,0.953,0.196,1.0,0.369,0.076,0.188,0.0,0.368,0.51,0.212,0.0,0.891,0.064,0.1,0.294,0.838,0.627,0.103,0.719
STU_0014,Project Manager,6.7,3.53,0.15,0.251,0.173,0.0,0.348,0.0,0.133,0.107,0.222,0.284,0.369,0.093,0.988,0.929,0.543,1.0,0.484,0.263,0.258,0.241
