job_id,job_title,company,experience_level,min_experience,required_skills,min_cgpa,salary_range,location,job_type,posted_date
JOB_0001,ML Engineer,DevFactory,Senior (5+ yrs),2,"Java,Python,Django,API Design,React,AWS",6.61,22L - 47L,Hyderabad,Contract,2026-06-27 20:10:19.975294
JOB_0002,Cloud Architect,WebSolutions,Junior (0-2 yrs),5,"Django,ML,API Design,Python,AWS",7.96,22L - 41L,Delhi,Full-time,2026-06-27 20:10:19.975294
JOB_0003,Data Scientist,WebSolutions,Mid (2-5 yrs),3,"SQL,JavaScript,React,Python",7.97,24L - 26L,Bangalore,Full-time,2026-06-27 20:10:19.975294
JOB_0004,AI/ML Engineer,WebSolutions,Fresher,3,"Data Analysis,React,Python",6.92,4L - 28L,Delhi,Full-time,2026-06-27 20:10:19.975294
JOB_0005,Data Scientist,WebSolutions,Junior (0-2 yrs),0,"Java,ML,Data Analysis,React,Python",7.72,4L - 33L,Pune,Contract,2026-06-27 20:10:19.975294
JOB_0006,Cloud Architect,WebSolutions,Junior (0-2 yrs),1,"JavaScript,React,SQL,AWS,API Design",6.15,3L - 34L,Bangalore,Full-time,2026-06-27 20:10:19.976297
JOB_0007,Full Stack Developer,AIInnovate,Junior (0-2 yrs),5,"ML,JavaScript,Django,SQL,AWS,Python",6.68,7L - 35L,Delhi,Contract,2026-06-27 20:10:19.976297
JOB_0008,Software Engineer,DataDynamics,Mid (2-5 yrs),5,"Python,Data Analysis,ML,AWS,React",6.56,3L - 28L,Bangalore,Contract,2026-06-27 20:10:19.976297
JOB_0009,Data Scientist,CloudSys,Fresher,4,"Python,Java,Data Analysis,AWS",7.98,24L - 41L,Bangalore,Contract,2026-06-27 20:10:19.976297
JOB_0010,Backend Engineer,CloudSys,Junior (0-2 yrs),0,"Data Analysis,Java,Python,React,AWS",6.21,18L - 42L,Hyderabad,Full-time,2026-06-27 20:10:19.976297
JOB_0011,Cloud Architect,WebSolutions,Mid (2-5 yrs),0,"Django,AWS,Java,SQL,Python",7.52,3L - 44L,Delhi,Full-time,2026-06-27 20:10:19.976297
JOB_0012,Cloud Architect,DevFactory,Fresher,2,"Python,ML,Data Analysis",6.23,6L - 34L,Pune,Full-time,2026-06-27 20:10:19.976297
JOB_0013,AI/ML Engineer,CloudSys,Mid (2-5 yrs),3,"Python,API Design,React",6.62,7L - 36L,Bangalore,Contract,2026-06-27 20:10:19.976297
JOB_0014,Software Engineer,WebSolutions,Mid (2-5 yrs),4,"Data Analysis,React,SQL,Django",6.42,17L - 36L,Pune,Contract,2026-06-27 20:10:19.976297
JOB_0015,Software Engineer,AIInnovate,Fresher,2,"SQL,ML,JavaScript",7.26,4L - 25L,Bangalore,Full-time,2026-06-27 20:10:19.976297
JOB_0016,Backend Engineer,CloudSys,Junior (0-2 yrs),1,"JavaScript,React,Java,API Design,SQL",7.24,4L - 28L,Delhi,Contract,2026-06-27 20:10:19.976297
JOB_0017,Software Engineer,TechCorp,Junior (0-2 yrs),2,"AWS,Java,ML,Data Analysis,Django",6.94,20L - 26L,Mumbai,Contract,2026-06-27 20:10:19.976297
JOB_0018,Backend Engineer,DevFactory,Mid (2-5 yrs),0,"Data Analysis,API Design,React,SQL,AWS",6.77,15L - 48L,Bangalore,Full-time,2026-06-27 20:10:19.976297
JOB_0019,Frontend Developer,DevFactory,Fresher,1,"Data Analysis,JavaScript,Java,AWS,ML,API Design",7.16,13L - 45L,Delhi,Contract,2026-06-27 20:10:19.976297
JOB_0020,Backend Engineer,DevFactory,Senior (5+ yrs),1,"Data Analysis,JavaScript,API Design",7.78,6L - 42L,Pune,Contract,2026-06-27 20:10:19.976297
JOB_0021,Frontend Developer,CloudSys,Senior (5+ yrs),0,"ML,React,API Design",6.52,19L - 42L,Delhi,Full-time,2026-06-27 20:10:19.977295
JOB_0022,Data Scientist,TechCorp,Junior (0-2 yrs),2,"SQL,Java,AWS",6.73,22L - 28L,Delhi,Contract,2026-06-27 20:10:19.977295
JOB_0023,Backend Engineer,WebSolutions,Junior (0-2 yrs),3,"AWS,JavaScript,SQL,Java,API Design,Data Analysis",6.77,10L - 31L,Mumbai,Contract,2026-06-27 20:10:19.977295
JOB_0024,Full Stack Developer,TechCorp,Junior (0-2 yrs),2,"Django,ML,JavaScript,SQL",7.93,13L - 26L,Mumbai,Contract,2026-06-27 20:10:19.977295
JOB_0025,Software Engineer,AIInnovate,Junior (0-2 yrs),3,"Python,JavaScript,Data Analysis",7.95,17L - 37L,Bangalore,Contract,2026-06-27 20:10:19.977295
JOB_0026,Data Scientist,AIInnovate,Senior (5+ yrs),2,"AWS,ML,Python,Django",6.14,6L - 46L,Hyderabad,Contract,2026-06-27 20:10:19.977295
JOB_0027,Full Stack Developer,CloudSys,Junior (0-2 yrs),5,"Java,AWS,Python",6.17,9L - 29L,Pune,Full-time,2026-06-27 20:10:19.977295
JOB_0028,ML Engineer,DataDynamics,Fresher,4,"React,API Design,SQL",7.12,10L - 34L,Delhi,Full-time,2026-06-27 20:10:19.977295
JOB_0029,Backend Engineer,WebSolutions,Mid (2-5 yrs),5,"SQL,JavaScript,React,AWS",7.58,21L - 25L,Mumbai,Full-time,2026-06-27 20:10:19.977295
JOB_0030,Full Stack Developer,DataDynamics,Fresher,1,"React,Data Analysis,Django,JavaScript",7.52,4L - 30L,Delhi,Full-time,2026-06-27 20:10:19.977295
JOB_0031,AI/ML Engineer,AIInnovate,Fresher,1,"JavaScript,Data Analysis,Python,ML,React,Django",6.87,16L - 40L,Hyderabad,Full-time,2026-06-27 20:10:19.977295
JOB_0032,Cloud Architect,DevFactory,Senior (5+ yrs),1,"AWS,JavaScript,Django,Java",6.07,14L - 46L,Mumbai,Contract,2026-06-27 20:10:19.977295
JOB_0033,Backend Engineer,WebSolutions,Junior (0-2 yrs),5,"Data Analysis,Python,React",6.56,9L - 48L,Bangalore,Full-time,2026-06-27 20:10:19.977295
JOB_0034,Data Scientist,AIInnovate,Fresher,3,"AWS,React,JavaScript,Python,ML,Data Analysis",6.07,22L - 32L,Delhi,Full-time,2026-06-27 20:10:19.977295
JOB_0035,Backend Engineer,TechCorp,Fresher,1,"Django,Data Analysis,API Design,React",7.31,10L - 36L,Delhi,Contract,2026-06-27 20:10:19.977295
JOB_0036,Backend Engineer,AIInnovate,Fresher,2,"JavaScript,ML,Java,Django",7.37,21L - 47L,Pune,Contract,2026-06-27 20:10:19.977295
JOB_0037,Software Engineer,AIInnovate,Senior (5+ yrs),1,"JavaScript,Data Analysis,SQL",6.63,5L - 32L,Pune,Contract,2026-06-27 20:10:19.978297
JOB_0038,Data Engineer,AIInnovate,Junior (0-2 yrs),2,"Python,Data Analysis,React,JavaScript,Django,API Design",7.15,18L - 47L,Mumbai,Full-time,2026-06-27 20:10:19.978297
JOB_0039,DevOps Engineer,DevFactory,Fresher,2,"React,Python,JavaScript,API Design",7.52,5L - 39L,Mumbai,Full-time,2026-06-27 20:10:19.978297
JOB_0040,Cloud Architect,TechCorp,Senior (5+ yrs),2,"Java,JavaScript,SQL,Python,ML,React",7.69,15L - 47L,Pune,Contract,2026-06-27 20:10:19.978297
JOB_0041,Full Stack Developer,DevFactory,Junior (0-2 yrs),0,"JavaScript,Java,Django,ML,Data Analysis,SQL",7.27,5L - 29L,Hyderabad,Contract,2026-06-27 20:10:19.978297
JOB_0042,Data Scientist,DevFactory,Mid (2-5 yrs),1,"JavaScript,Java,Data Analysis",8.0,13L - 49L,Delhi,Full-time,2026-06-27 20:10:19.978297
JOB_0043,ML Engineer,WebSolutions,Mid (2-5 yrs),1,"AWS,API Design,React,JavaScript,Python,Django",7.26,11L - 45L,Hyderabad,Full-time,2026-06-27 20:10:19.978297
JOB_0044,ML Engineer,WebSolutions,Mid (2-5 yrs),0,"Data Analysis,API Design,React,JavaScript,Python",7.48,12L - 40L,Mumbai,Contract,2026-06-27 20:10:19.978297
