student_id,job_id,skill_match_score,experience_match_score,cgpa_match_score,overall_match_score,is_match,student_applied,student_selected
STU_0066,JOB_0042,0.33,1.0,0.89,0.64,1,0,1
STU_0165,JOB_0049,0.17,0.0,1.0,0.28,0,0,0
STU_0209,JOB_0052,0.33,0.17,1.0,0.42,0,0,0
STU_0216,JOB_0158,0.0,1.0,1.0,0.5,0,0,0
STU_0116,JOB_0126,0.6,0.2,1.0,0.56,0,0,0
STU_0073,JOB_0043,0.67,1.0,0.95,0.82,1,0,1
STU_0201,JOB_0197,0.25,0.17,1.0,0.38,0,0,0
STU_0211,JOB_0171,0.6,1.0,0.97,0.79,1,0,1
STU_0060,JOB_0106,0.4,1.0,1.0,0.7,1,0,0
STU_0192,JOB_0096,0.6,0.0,1.0,0.5,0,1,0
STU_0156,JOB_0055,0.5,0.0,1.0,0.45,0,1,0
STU_0100,JOB_0188,0.8,1.0,0.9,0.88,1,0,1
STU_0245,JOB_0028,0.0,0.2,0.95,0.25,0,0,0
STU_0127,JOB_0154,0.2,1.0,1.0,0.6,1,1,1
STU_0081,JOB_0010,0.6,1.0,1.0,0.8,1,1,1
STU_0207,JOB_0016,0.4,1.0,0.98,0.7,1,0,1
STU_0209,JOB_0166,0.33,0.25,1.0,0.44,0,1,0
STU_0092,JOB_0013,0.67,0.25,0.93,0.59,0,1,0
STU_0188,JOB_0192,0.25,1.0,1.0,0.62,1,1,1
STU_0163,JOB_0130,0.4,0.2,0.98,0.46,0,0,0
STU_0180,JOB_0137,0.2,1.0,1.0,0.6,1,0,1
STU_0288,JOB_0014,0.0,1.0,1.0,0.5,0,0,0
STU_0094,JOB_0065,0.4,1.0,1.0,0.7,1,0,1
STU_0092,JOB_0052,0.67,0.17,1.0,0.58,0,0,0
STU_0137,JOB_0154,0.4,1.0,1.0,0.7,1,0,1
STU_0177,JOB_0040,0.5,1.0,1.0,0.75,1,0,0
STU_0148,JOB_0129,0.75,1.0,1.0,0.88,1,0,1
STU_0141,JOB_0041,0.17,1.0,1.0,0.58,0,0,0
STU_0167,JOB_0124,0.33,1.0,1.0,0.67,1,0,1
