student_id,college_id,name,degree,specialization,cgpa,years_of_experience,verified_skills,skill_level,communication_score,teamwork_score,leadership_score,internship_count,project_count
STU_0001,COL_07,Student_1,MSc,Finance,6.64,4,"Python,Java",Basic,0.72,0.94,0.0,3,5
STU_0002,COL_01,Student_2,MSc,IT,7.84,3,"Java,ML",Intermediate,0.45,0.01,0.94,1,2
STU_0003,COL_09,Student_3,MTech,Finance,6.81,3,"AWS,Django,Java,SQL",Intermediate,0.43,0.21,0.57,0,7
STU_0004,COL_18,Student_4,MTech,AI,9.29,3,"JavaScript,Java,Django",Intermediate,0.59,0.97,0.61,0,1
STU_0005,COL_15,Student_5,MBA,CSE,6.05,0,"Java,SQL,AWS,API Design,ML",Intermediate,0.07,0.36,0.12,2,1
STU_0006,COL_08,Student_6,MSc,IT,6.33,4,"SQL,Java,AWS,Django",Advanced,0.72,0.24,0.26,2,1
STU_0007,COL_15,Student_7,MTech,IT,7.54,2,"Java,Django,ML,JavaScript",Intermediate,0.2,0.94,0.6,2,6
STU_0008,COL_02,Student_8,MTech,Finance,7.03,4,"Java,JavaScript,React",Intermediate,0.82,0.86,0.01,3,3
STU_0009,COL_09,Student_9,MBA,CSE,6.42,3,"JavaScript,AWS,Data Analysis,Java,API Design",Intermediate,0.3,0.28,0.04,0,2
STU_0010,COL_02,Student_10,MSc,Business,6.12,0,"Python,ML",Basic,0.73,0.37,0.63,1,6
STU_0011,COL_11,Student_11,BTech,CSE,7.12,4,"Python,Data Analysis,AWS,Django",Advanced,0.4,0.52,0.84,2,4
STU_0012,COL_18,Student_12,MTech,DS,6.8,1,"AWS,JavaScript,ML,React,Data Analysis",Intermediate,0.88,0.19,0.28,2,3
STU_0013,COL_20,Student_13,BTech,AI,6.29,3,"Java,Django,AWS",Basic,0.31,0.49,0.45,0,1
STU_0014,COL_04,Student_14,BTech,AI,6.83,4,"ML,Java,AWS,API Design,Python",Basic,0.37,0.27,0.24,1,6
STU_0015,COL_13,Student_15,BSc,Business,9.17,2,"JavaScript,Java,ML",Basic,0.02,0.65,0.18,3,6
STU_0016,COL_14,Student_16,MBA,Business,7.3,0,"Java,Data Analysis",Intermediate,0.85,0.32,0.17,0,2
STU_0017,COL_03,Student_17,MTech,Business,7.26,2,"SQL,ML,AWS",Basic,0.42,0.26,0.61,3,2
STU_0018,COL_07,Student_18,BTech,AI,8.79,0,"AWS,Python,API Design,React,ML",Basic,0.47,0.54,0.29,1,2
STU_0019,COL_17,Student_19,MSc,IT,8.88,2,"Java,JavaScript,Django,Data Analysis,ML",Basic,0.05,0.53,0.54,2,4
STU_0020,COL_16,Student_20,MBA,IT,7.81,2,"Django,API Design",Advanced,0.7,0.41,0.17,0,7
STU_0021,COL_02,Student_21,BTech,Finance,6.98,4,"React,Python,Django,Java",Basic,0.34,0.09,0.09,1,6
STU_0022,COL_20,Student_22,MBA,AI,6.06,1,"Django,React,Java,JavaScript,API Design",Advanced,0.89,0.26,0.02,2,2
STU_0023,COL_01,Student_23,MBA,Finance,6.57,1,"Data Analysis,ML",Intermediate,0.94,0.39,0.96,1,3
STU_0024,COL_12,Student_24,MBA,Finance,6.75,1,"React,AWS",Intermediate,0.34,0.26,0.5,1,5
STU_0025,COL_18,Student_25,MBA,DS,9.07,3,"Data Analysis,ML",Intermediate,0.13,0.25,0.58,2,6
STU_0026,COL_05,Student_26,MSc,CSE,8.38,0,"Data Analysis,JavaScript,AWS,Java",Basic,0.05,0.96,0.85,0,7
STU_0027,COL_14,Student_27,MSc,DS,7.73,4,"ML,Java",Intermediate,0.09,0.49,0.06,2,2
STU_0028,COL_05,Student_28,BSc,Finance,7.23,1,"JavaScript,API Design,Java,SQL",Advanced,0.71,0.08,0.08,2,5
STU_0029,COL_01,Student_29,MSc,CSE,9.32,0,"React,Python",Intermediate,0.91,0.11,0.49,0,2
STU_0030,COL_20,Student_30,MSc,Finance,8.88,0,"Data Analysis,JavaScript,SQL,Java",Advanced,0.56,0.32,0.04,0,3
STU_0031,COL_05,Student_31,MSc,DS,8.43,0,"JavaScript,React,SQL",Advanced,0.05,0.28,0.95,3,6
STU_0032,COL_12,Student_32,MSc,Finance,6.97,3,"ML,JavaScript,Python,AWS,Data Analysis",Basic,0.45,0.03,0.28,0,4
STU_0033,COL_13,Student_33,MSc,Finance,6.47,2,"API Design,React",Intermediate,0.16,0.41,0.78,1,7
STU_0034,COL_17,Student_34,BSc,Finance,8.62,0,"SQL,React,ML",Intermediate,0.53,0.75,0.91,2,5
STU_0035,COL_05,Student_35,MTech,IT,7.32,4,"ML,React,API Design",Intermediate,0.05,0.27,0.02,1,2
STU_0036,COL_03,Student_36,BSc,IT,8.98,3,"JavaScript,API Design",Basic,0.14,0.01,0.35,1,2
STU_0037,COL_15,Student_37,BSc,DS,9.16,3,"AWS,API Design",Intermediate,0.46,0.84,0.77,3,5
STU_0038,COL_02,Student_38,MBA,IT,7.15,2,"Java,ML,Python,AWS",Advanced,0.52,0.97,0.6,2,3
STU_0039,COL_05,Student_39,MTech,AI,7.22,4,"Data Analysis,JavaScript,Django",Intermediate,0.04,0.8,0.63,2,6
STU_0040,COL_11,Student_40,MBA,CSE,6.97,0,"API Design,React,Django,Data Analysis,Java",Intermediate,0.75,0.04,0.25,2,3
