job_id,company_size,salary_min,salary_max,required_exp_min,required_exp_max,required_gpa_min,urgency_level,req_python,req_javascript,req_java,req_sql,req_aws,req_docker
1,SME,488683,1129827,3,12,6.741930192554385,Medium,85,0,75,0,0,50
2,Large,596523,1240648,2,8,7.138961443401244,Medium,0,0,0,25,75,75
3,Large,479889,963284,2,9,7.022777330209895,Medium,25,0,85,75,75,0
4,Startup,370505,752383,1,7,7.475950641954741,High,0,0,50,25,75,85
5,SME,433670,1358603,3,9,5.516169353060022,Medium,0,25,85,0,25,75
6,SME,496699,1455612,4,7,6.374978881726266,Low,85,0,0,0,50,75
7,Startup,594289,979129,0,9,6.012088972752256,Medium,0,75,0,0,0,85
8,Large,494827,948125,1,9,5.739786774289747,Low,85,25,0,75,75,0
9,Startup,225741,1422366,0,10,7.323030656334369,High,50,0,0,25,75,75
10,SME,353358,993399,0,13,7.495924132191373,Medium,0,0,0,85,0,0
11,SME,203599,1395907,3,5,5.861192415809447,Low,0,50,25,85,85,0
12,Startup,328513,1077982,4,14,5.576866785602727,High,25,0,0,75,0,85
13,Large,489437,794202,0,10,6.050108895361001,High,0,0,75,0,75,75
14,Large,477533,921721,0,5,7.169723836132791,Low,0,50,0,0,0,0
15,SME,474462,1382328,1,10,6.087780166398634,Medium,0,0,25,0,0,75
16,Startup,465199,888152,4,6,5.613802960995243,High,0,25,0,0,50,50
17,Startup,321164,1332228,4,12,5.604984367906059,Low,0,75,0,0,0,25
18,SME,282579,1041157,0,7,6.354845604738873,Medium,50,85,85,50,0,0
19,Startup,337392,1167044,4,14,7.36365144612324,High,50,0,25,85,0,75
20,SME,304817,1325618,1,10,6.071840883279264,Low,0,25,0,0,25,0
21,Large,204642,1205018,1,10,6.3543153614020875,High,25,0,75,85,0,85
22,SME,209321,1021128,1,8,5.703867610765217,High,0,0,0,85,50,0
23,Large,542112,1206990,3,9,6.487145586537962,Low,0,0,50,75,0,0
24,SME,419365,781731,0,6,6.893094128571408,High,0,25,25,85,50,0
25,SME,302770,1433272,4,14,6.042300722354439,Low,0,25,0,0,50,85
26,Large,353043,812584,1,14,6.093422617057369,Medium,0,50,0,0,0,85
27,SME,456054,900767,0,12,7.183950050812543,Low,0,0,75,0,0,0
28,Large,571906,1449735,0,14,5.520727444694354,Medium,0,0,0,0,0,85
29,Startup,314183,1432494,3,11,6.772941417100194,High,0,0,0,0,50,0
30,Startup,317159,656690,4,14,6.287769269883234,Low,0,0,75,50,0,85
31,Large,487871,1332942,4,10,6.0967610271229375,Low,0,75,50,85,75,75
32,SME,273820,698980,1,11,6.8151876644877545,Low,50,25,25,25,75,85
33,Large,309062,1016850,1,5,7.169337043579411,Low,0,0,0,0,75,0
34,Large,414273,1117926,0,9,6.616784232657348,Medium,0,0,85,25,25,50
35,Startup,227476,1115717,4,11,5.562189243886112,Medium,25,0,75,85,0,0
36,SME,342063,907410,4,5,6.422802381651152,High,0,0,0,0,0,50
37,SME,416169,761080,1,6,6.425519881787946,High,85,50,0,50,75,25
38,SME,320355,1474075,2,13,6.5875969896092155,High,25,85,0,0,75,25
39,Large,270047,1182992,0,7,6.841917802087105,High,0,75,0,0,0,0
40,Startup,341868,1366441,4,10,5.538636807068681,Low,0,75,0,0,50,0
41,SME,203881,1056082,3,11,6.5040252487995005,Medium,0,0,0,0,75,50
42,Large,215668,979518,3,13,6.676615538761181,Medium,50,85,50,75,25,0
43,Startup,431789,1394814,2,9,6.186706772832104,Medium,75,0,25,0,0,25
44,Large,365384,1040990,1,8,6.836730453180866,Medium,75,50,0,85,0,0
45,SME,228106,1067786,1,6,5.9563554342583425,High,75,25,25,85,85,0
46,Large,423830,1329422,1,7,6.134744666134903,Low,0,85,0,75,85,0
47,SME,477873,1476041,3,9,7.4255106948486524,Medium,0,0,25,0,25,85
